REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Alabama,2010,40,X,2.13477,249,35,11664
Alaska,2010,40,X,0.875146,15,7,1714
Arizona,2010,40,X,0.674721,172,49,25492
Arkansas,2010,40,X,0.696056,18,15,2586
California,2010,40,X,1.95412,632,112,32342
Colorado,2010,40,X,0.660684,134,14,20282
Connecticut,2010,40,X,0.0783085,3,12,3831
Delaware,2010,40,X,0.100125,4,13,3995
District of Columbia,2010,40,X,2.80877,73,4,2599
Florida,2010,40,X,X,X,X,X
Georgia,2010,40,X,1.6049,647,62,40314
Hawaii,2010,40,X,1.02934,20,18,1943
Idaho,2010,40,X,0.414938,19,12,4579
Illinois,2010,40,X,1.28205,505,74,39390
Indiana,2010,40,X,0.518962,65,44,12525
Iowa,2010,40,X,0.563063,10,6,1776
Kansas,2010,40,X,0.442227,39,40,8819
Kentucky,2010,40,X,0.142932,19,14,13293
Louisiana,2010,40,X,2.28108,391,41,17141
Maine,2010,40,X,0.357724,22,30,6150
Maryland,2010,40,X,1.3192,117,17,8869
Massachusetts,2010,40,X,0.604621,168,56,27786
Michigan,2010,40,X,0.671831,98,47,14587
Minnesota,2010,40,X,0.5748,38,17,6611
Mississippi,2010,40,X,2.9098,491,42,16874
Missouri,2010,40,X,1.10176,106,33,9621
Montana,2010,40,X,0.0371195,1,7,2694
Nebraska,2010,40,X,2.19978,61,13,2773
Nevada,2010,40,X,1.66683,175,30,10499
New Hampshire,2010,40,X,0.0759301,3,21,3951
New Jersey,2010,40,X,2.31534,163,23,7040
New Mexico,2010,40,X,2.13191,160,23,7505
New York,2010,40,X,0.26299,37,91,14069
North Carolina,2010,40,X,0.53143,134,74,25215
North Dakota,2010,40,X,0.671355,42,19,6256
Ohio,2010,40,X,0.228257,29,36,12705
Oklahoma,2010,40,X,0.624179,19,17,3044
Oregon,2010,40,X,0.551334,37,20,6711
Pennsylvania,2010,40,X,0.703292,122,64,17347
Rhode Island,2010,40,X,0.235036,15,21,6382
South Carolina,2010,40,X,0.446127,33,25,7397
South Dakota,2010,40,X,1.10275,63,18,5713
Tennessee,2010,40,X,0.274655,32,52,11651
Texas,2010,40,X,2.06514,1050,98,50844
Utah,2010,40,X,0.747696,43,13,5751
Vermont,2010,40,X,1.47641,41,10,2777
Virginia,2010,40,X,1.14343,660,81,57721
Washington,2010,40,X,0.510041,16,17,3137
West Virginia,2010,40,X,1.59741,143,34,8952
Wisconsin,2010,40,X,0.465022,23,44,4946
Wyoming,2010,40,X,0.632911,32,28,5056
New York City,2010,40,X,1.18222,1059,40,89577
Alabama,2010,41,X,2.05999,239,31,11602
Alaska,2010,41,X,1.12827,19,7,1684
